VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE
"100097","400","BORON EXTRACTABLE","BORE EXTRACTIBLE","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100098","406","CALCIUM EXTRACTABLE/UNFILTERED","CALCIUM EXTRACTIBLE/NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100099","583","MAGNESIUM EXTRACTABLE/UNFILTERED","MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"1001","386","BARIUM DISSOLVED","BARYUM DISSOUS","METAL","MÉTAUX","µG/L","MICROGRAM PER LITER","MICROGRAMME PAR LITRE","3017","ANALYSIS OF DISSOLVED METALS BY INDUCTIVELY COUPLED ARGON PLASMA-MASS SPECTROMETRY TECHNIQUE (ICP-MS).","ANALYSE DES MÉTAUX DISSOUS PAR LA TECHNIQUE DE SPECTROMÉTRIE DE MASSE PAR PLASMA D’ARGON À COUPLAGE INDUCTIF (ICP-MS)."
"100100","2630","SODIUM EXTRACTABLE/UNFILTERED","SODIUM EXTRACTIBLE/NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100101","2631","POTASSIUM EXTRACTABLE/UNFILTERED","POTASSIUM EXTRACTIBLE/NON FILTRÉ","MAJOR IONS","IONS MAJEURS","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2628","EXTRACTABLE METALS BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION.","MÉTAUX EXTRACTIBLES PAR ICAP"
"100154","373","ALUMINUM TOTAL","ALUMINIUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100155","388","BARIUM TOTAL","BARYUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100156","393","BERYLLIUM TOTAL","BÉRYLLIUM TOTAL","METAL","MÉTAUX","µG/L","MICROGRAM PER LITER","MICROGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100157","412","CADMIUM TOTAL","CADMIUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100158","456","COBALT TOTAL","COBALT TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100159","463","CHROMIUM TOTAL","CHROME TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100160","470","COPPER TOTAL","CUIVRE TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100161","519","IRON TOTAL","FER TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100162","576","LITHIUM TOTAL","LITHIUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100163","591","MANGANESE TOTAL","MANGANÈSE TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100164","595","MOLYBDENUM TOTAL","MOLYBDÈNE TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100165","610","NICKEL TOTAL","NICKEL TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100166","683","LEAD TOTAL","PLOMB TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100167","823","STRONTIUM TOTAL","STRONTIUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100168","878","VANADIUM TOTAL","VANADIUM TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100169","890","ZINC TOTAL","ZINC TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100170","401","BORON TOTAL","BORE TOTAL","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2631","TOTAL METALS DETERMINED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH STANDARD SPRAY CHAMBER.","MÉTAUX TOTAUX DÉTERMINÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC CHAMBRE DE VAPORISATION STANDARD."
"100175","370","ALUMINUM DISSOLVED","ALUMINIUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100176","386","BARIUM DISSOLVED","BARYUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100177","391","BERYLLIUM DISSOLVED","BÉRYLLIUM DISSOUS","METAL","MÉTAUX","µG/L","MICROGRAM PER LITER","MICROGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100178","409","CADMIUM DISSOLVED","CADMIUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100179","453","COBALT DISSOLVED","COBALT DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100180","460","CHROMIUM DISSOLVED","CHROME DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100181","467","COPPER DISSOLVED","CUIVRE DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100182","516","IRON DISSOLVED","FER DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
"100183","574","LITHIUM DISSOLVED","LITHIUM DISSOUS","METAL","MÉTAUX","MG/L","MILLIGRAM PER LITER","MILLIGRAMME PAR LITRE","2632","DISSOLVED METALS MEASURED BY INDUCTIVELY COUPLED ARGON PLASMA (ICAP) EMISSION SPECTROMETRY WITH EXTERNAL NEBULIZER.","MÉTAUX DISSOUS MESURÉS PAR SPECTROMÉTRIE D'ÉMISSION AVEC PLASMA INDUIT PAR HAUTE FRÉQUENCE (ICAP) AVEC NÉBULISATEUR EXTERNE."
